hour,load_fraction
0,0.12
1,0.112
2,0.1
3,0.1
4,0.112
5,0.16
6,0.32
7,0.48
8,0.4
9,0.36
10,0.34
11,0.34
12,0.36
13,0.38
14,0.4
15,0.44
16,0.6
17,0.88
18,1.0
19,0.96
20,0.8
21,0.6
22,0.32
23,0.16
